time [ms],mag_x [μT],mag_y [μT],mag_z [μT]
37730,3.359077453613281,21.533721923828125,-21.11297607421875
37740,3.3048171997070312,21.773345947265625,-21.414947509765625
37750,3.544540405273437,21.82818603515625,-21.242477416992188
37760,3.7206954956054688,21.999801635742188,-20.95323944091797
37770,3.901222229003906,21.61436462402344,-21.258026123046875
37780,3.837066650390625,21.98150634765625,-21.332443237304688
37790,3.761962890625,22.072189331054688,-21.072433471679688
37800,3.8150482177734375,22.127365112304688,-21.2733154296875
37810,3.8686752319335938,21.889205932617188,-21.345428466796875
37820,3.8091888427734375,21.921890258789062,-21.36216735839844
37830,3.8074874877929688,21.68304443359375,-21.47405242919922
37840,3.662147521972656,21.784439086914062,-21.698143005371094
37850,3.8259048461914062,21.979476928710938,-21.33592987060547
37860,3.744087219238281,22.13887023925781,-21.156089782714844
37870,4.024513244628906,22.083267211914062,-21.208969116210938
37880,4.2921142578125,22.140045166015625,-20.93994903564453
37890,4.4346771240234375,22.37310791015625,-21.329986572265625
37900,4.619552612304688,22.286376953125,-21.423912048339844
37910,4.8283233642578125,22.25057983398437,-20.7781982421875
37920,4.866050720214844,22.229080200195312,-21.101341247558597
37930,4.6783447265625,21.997817993164062,-21.337974548339844
37940,4.668258666992188,21.966781616210938,-21.44686889648437
37950,4.7576751708984375,21.799087524414062,-21.237648010253903
37960,4.902679443359375,21.9163818359375,-21.19444274902344
37970,4.924064636230469,21.89952087402344,-21.121681213378903
37980,4.9140167236328125,22.10369873046875,-21.340316772460938
37990,4.931831359863281,21.752182006835938,-21.32953643798828
38000,4.945167541503906,21.927474975585938,-21.10218811035156
38010,5.100189208984375,21.84970092773437,-21.287353515625
38020,5.145263671875,21.858551025390625,-21.245506286621094
38030,5.259315490722656,21.8907470703125,-21.51311492919922
38040,5.0947113037109375,21.740966796875,-21.744110107421875
38050,4.986457824707031,21.796127319335938,-21.606224060058597
38060,4.918212890625,21.83631896972656,-21.26576232910156
38070,5.174629211425781,21.749267578125,-21.73695373535156
38080,5.349533081054688,21.47714233398437,-21.56060791015625
38090,5.534637451171875,21.74092102050781,-21.433990478515625
38100,5.45147705078125,21.68295288085937,-21.277000427246094
38110,5.66729736328125,21.635971069335938,-21.11693572998047
38120,5.879928588867188,21.87631225585937,-21.64862823486328
38130,5.8680419921875,21.59747314453125,-21.81507873535156
38140,5.973892211914063,21.489242553710938,-22.124717712402344
38150,6.0855865478515625,21.27357482910156,-21.886268615722656
38160,6.143318176269531,21.331512451171875,-21.851646423339844
38170,6.0912628173828125,21.311203002929688,-22.03899383544922
38180,6.270973205566406,21.373458862304688,-21.536582946777344
38190,6.304481506347656,21.394790649414062,-21.337554931640625
38200,6.090446472167969,21.59701538085937,-21.418777465820312
38210,6.39910888671875,21.704635620117188,-21.35726928710937
38220,6.364311218261719,22.03285217285156,-21.608383178710938
38230,6.541290283203125,21.839157104492188,-21.77313232421875
38240,6.574867248535156,21.777420043945312,-21.88762664794922
38250,6.811454772949219,21.517135620117188,-21.892974853515625
38260,6.872467041015625,21.66981506347656,-21.6243896484375
38270,7.1500244140625,21.636398315429688,-21.64442443847656
38280,6.9051666259765625,21.51678466796875,-21.83258819580078
38290,6.8353271484375,21.599411010742188,-21.50016021728516
38300,6.8603363037109375,21.67866516113281,-21.728805541992188
