time,acc_x,acc_y,acc_z
154380,-0.29269115752067887,-1.367388350091502,-10.12597664642334
154390,-1.1191396659187507,-0.9769839149475096,-10.54032317123413
154400,-1.3470376725127917,-0.771232209777832,-10.863390757751466
154410,-0.38337157736513766,-0.7746738746643066,-10.980257726287839
154420,0.3449146766662597,-0.6868366012573243,-11.064354059600829
154430,0.31319146813657117,-0.6066307725768536,-11.072882818493246
154440,0.0670376373512204,-0.7062894897460938,-11.075127967071534
154450,0.027383672354882607,-1.028459250640869,-10.741885023498535
154460,0.0896329429184087,-1.4246996253967286,-10.0993411529541
154470,0.11192893217888189,-1.7208325163025406,-9.465027350616456
154480,-0.030974974845116993,-1.8468273056030275,-9.083750736236572
154490,-0.46387659448815977,-1.6997335411071774,-9.06624313659668
154500,-0.7731775077598635,-1.4407108489990232,-9.344419441986084
154510,-0.6022913186004386,-1.2255319017272441,-9.941922393798828
154520,0.1028010246498045,-1.023371572113037,-10.56665938949585
154530,0.9506476601531728,-0.6519710395812989,-11.003900467681884
154540,1.3024456848586907,-0.28700492401123046,-11.21234564971924
154550,1.3409025672912596,-0.25363573837280273,-11.088146438598633
154560,1.2436380974479482,-0.40252515411376955,-10.589853218078613
154570,0.9370306930099612,-0.6199485193114727,-9.959729268646239
154580,0.3902548666097136,-0.815225592217967,-9.474604157257078
154590,-0.00029926379107639983,-0.848445140252635,-9.358185517010092
154600,-0.3115454727615229,-0.7312789695739748,-9.655516020202636
154610,-0.4474164352416991,-0.5951086770873517,-10.004769602856038
154620,0.0830488626659818,-0.4251205053467304,-10.439467426300048
154630,0.7540238773539487,-0.09487031384892775,-10.928333477783202
154640,1.1631330894580807,0.12853870162963843,-11.010484522247314
154650,1.24618189047527,0.18764562817998243,-10.816404550170898
154660,1.028608906510938,0.13138181610107424,-10.52715506210327
154670,0.8008604553222656,-0.0556651885986329,-10.144082796478271
154680,0.5377975753120613,-0.26740232485346493,-9.77956500919759
154690,0.1562216765915044,-0.40641565874628716,-9.608529812622072
154700,-0.1491886726821773,-0.5410895751953123,-9.546130931854245
154710,-0.3155857245956546,-0.664690235900879,-9.43539910507202
154720,-0.502333399288915,-0.7378630241394042,-9.387215796661376
154730,-0.4671685806716791,-0.8246527612548322,-9.322422714233397
154740,-0.16475098347319292,-0.8331821777343746,-9.271545928955078
154750,0.2801215759719722,-0.7423520791869611,-9.271694982036948
154760,0.5436333961929195,-0.6607996582031249,-9.291747005462646
154770,0.5657798163482919,-0.6636427726745605,-9.271994841766357
154780,0.5527613082885742,-0.7231984659057111,-9.145849757274984
154790,0.47090952076567333,-0.7772177139282227,-9.022698593902586
154800,0.3097498580490239,-0.7763198883056641,-9.015515988922116
154810,0.051325679823290504,-0.7230488283019512,-9.086443628582359
154820,-0.14395137481689452,-0.582239916229248,-9.203610456848144
154830,-0.034267029527295406,-0.44996027450561504,-9.310152430725097
154840,0.1689408546447754,-0.3739444448608904,-9.417592230224608
154850,0.283563295657374,-0.30496143646240237,-9.56318961868286
154860,0.3586812996795401,-0.2618657335143536,-9.705494979858397
154870,0.48662150569306684,-0.287154488549754,-9.681552378734946
154880,0.4964976058075205,-0.363320101928711,-9.52578021774292
154890,0.2391208542754873,-0.42467151947021486,-9.341875602722167
154900,-0.12958614658964798,-0.435894266686961,-9.28216961430013
154910,-0.0049380409240722956,-0.5342062454223633,-9.352050959777833
154920,0.31663318782197325,-0.5907692596435546,-9.386018695831298
154930,0.46537292942656205,-0.5213374114990235,-9.379883554077148
154940,0.48886608801577247,-0.4734533782958984,-9.421482807922363
154950,0.4041711860214361,-0.5416881256103516,-9.496750522613524
154960,0.3368342460632325,-0.5840355674743651,-9.44288098526001
154970,0.31124621582031253,-0.5404910247802734,-9.354445161437988
154980,0.1036988594055176,-0.5234322648864239,-9.415496719250083
154990,-0.15741874088896438,-0.5588964500427247,-9.479691835784912
155000,-0.07077856831206,-0.6242880098205059,-9.519195578655598
155010,0.10265137791289014,-0.6628945846557617,-9.487323353576658
155020,0.16654665298461913,-0.6859387756347657,-9.55645592651367
155030,0.21607671809541062,-0.7609071420531718,-9.648033555492757
155040,0.1717839325835928,-0.8310872512817382,-9.700556938934326
155050,-0.036361937713623005,-0.8637082489013671,-9.708487731933593
155060,-0.0233434296539054,-0.9603740678649394,-9.705793670544027
155070,0.1013046212127432,-1.039382795715332,-9.7675945854187
155080,0.22131405249331154,-1.0293570031981913,-9.818021873363852
155090,0.1327285545349121,-0.9928455009460448,-9.778218855285644
155100,-0.07661445312500004,-0.9885060104370116,-9.689034843444823
155110,-0.19467852249145506,-1.0500071386475116,-9.618405894470214
155120,-0.3197755592346191,-1.0950479843139647,-9.637110594940186
155130,-0.5837362922668455,-1.0040683212280272,-9.773430451965332
155140,-0.6609492958068847,-0.9192237998962401,-9.88984850769043
155150,-0.4486134995391591,-0.8918401184082031,-10.087370144653319
